Keyword,Rank,New_Rank,Volume,Estimated_CTR,New_Estimated_CTR,Estimated_Clicks,Predicted_Clicks,New_Estimated_Clicks
salt home,12,1,1300,0.0042,0.05,2.3333333333333335,65.0,65.0
swisscom prepaid aufladen,100,1,1300,0.005,0.05,6.5,65.0,65.0
internet abo schweiz,19,1,1200,0.0060999999999999995,0.3,5.0,360.0,360.0
salt netzabdeckung,5,1,1100,0.0143,0.3,18.333333333333332,330.0,330.0
talk talk abo,8,1,1100,0.0008,0.05,1.0,55.0,55.0
sunrise mobile abo,9,1,1000,0.0003,0.05,0.3333333333333333,50.0,50.0
günstiges handy-abo schweiz unlimitiert internet,18,1,1000,0.05,0.3,4.666666666666667,300.0,300.0
salt handy abo,7,1,900,0.0027,0.05,1.6666666666666667,45.0,45.0
wingo handy abo,6,1,900,0.003,0.05,3.6666666666666665,45.0,45.0
wingo internet,10,1,900,0.0059,0.05,3.6666666666666665,45.0,45.0
salt prepaid,11,1,900,0.015,0.05,13.5,45.0,45.0
handyabo,3,1,800,0.0225,0.3,22.333333333333332,240.0,240.0
wingo fair flat,7,1,800,0.0006,0.3,0.3333333333333333,240.0,240.0
swisscom mobile abo,17,1,800,0.015,0.05,1.0,40.0,40.0
swisscom handy abo,17,1,800,0.015,0.05,2.0,40.0,40.0
internet und tv abo,12,1,800,0.05,0.3,4.0,240.0,240.0
internet anbieter schweiz,6,1,800,0.1,0.3,1.3333333333333333,240.0,240.0
internet geschwindigkeit test,100,1,800,0.01,0.3,8.0,240.0,240.0
internet abo vergleich,3,1,700,0.015600000000000001,0.3,11.333333333333334,210.0,210.0
sunrise handy abo,8,1,700,0.0019,0.05,0.6666666666666666,35.0,35.0
swisscom netzabdeckung,27,1,700,0.0012,0.3,0.6666666666666666,210.0,210.0
günstiges handy abo,8,1,700,0.0062,0.3,4.0,210.0,210.0
wingo handy,8,1,700,0.03,0.05,21.0,35.0,35.0
wingo aktion,20,1,700,0.05,0.3,35.0,210.0,210.0
internet geschwindigkeit,44,1,700,0.01,0.3,7.0,210.0,210.0
glasfaser verfügbarkeit,100,1,700,0.01,0.3,7.0,210.0,210.0
mobile abo vergleich,3,1,600,0.017,0.3,28.0,180.0,180.0
salt netz,6,1,600,0.0092,0.3,3.3333333333333335,180.0,180.0
günstige handy abos,4,1,600,0.0040999999999999995,0.3,3.6666666666666665,180.0,180.0
wingo abonnement,6,1,600,0.1,0.3,60.0,180.0,180.0
yallo handy abo,8,1,600,0.0012,0.05,1.0,30.0,30.0
prepaid swisscom,100,1,600,0.005,0.05,3.0,30.0,30.0
internetanbieter schweiz,6,1,600,0.1,0.3,0.3333333333333333,180.0,180.0
internet tv abo,17,1,600,0.05,0.3,2.3333333333333335,180.0,180.0
5g abdeckung schweiz,4,1,500,0.0581,0.3,23.333333333333332,150.0,150.0
prepaid karte,100,1,500,0.01,0.3,5.0,150.0,150.0
prepaid karte schweiz,100,1,500,0.01,0.3,5.0,150.0,150.0
tv internet abo,12,1,500,0.05,0.3,1.3333333333333333,150.0,150.0
internet tv,97,1,500,0.01,0.3,0.3333333333333333,150.0,150.0
wingo angebote,6,1,450,0.0042,0.05,3.3333333333333335,22.5,22.5
sunrise abo angebote,12,1,450,0.015,0.05,0.3333333333333333,22.5,22.5
abonnement mobile,27,1,450,0.01,0.3,0.3333333333333333,135.0,135.0
prepaid sim card switzerland,100,1,450,0.01,0.3,4.5,135.0,135.0
prepaid sim karte schweiz,90,1,450,0.01,0.3,4.5,135.0,135.0
tv und internet abo,11,1,450,0.05,0.3,1.3333333333333333,135.0,135.0
